,HashFunction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
40217,615bf98d09c83fcc70d4169fd205affd6d9efb1d98d813d86ed005568d2fb9a4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
32744,5488d5d00581b96f86417353f292cb5073785d277340c539ca7925bfa1cb3052,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9636,73ea3c46ef6c708ba8d383064b0c79f5f185167d3e4ce7f257677a3a8302dfdf,2,2,2,2,2,2,2,2,3,1,3,1,2,2,3,2,1,2,3,2,1,3,1,2,3,1,3,1,2,2
9617,e43ddfda7e64ba3563967f8a8f56087f1d754655ae1b69723cba602e000d35d5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31113,177f7d9f74e13c0df45e33e4b2d7ececc780d9487476d3a7700d8e3a1c5ab407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42685,de2fe5651b1f986b5ef9af83dbf231dbce3bebe9b3fac5f08341b276ac3d138f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8004,c098eda032f0e5e02619ce25581d0a69cc9e6605aa9d1d99063e5949f4bb5c11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
31854,1007036ff73c02d54b46058654854063356186e91336571dac7f988497b951b9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20747,a3cacf8afd79649ed4b8ac16332da5391116431b5630b0362ed2cf359f52932d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23852,ab5d939baf09c9e03d8f27d359009d34c4f861b96ed489e03f767259dc3a46c9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
11986,c55197d2821cd83d5f9234aeaab8b305b2e1d22322150568d2ad444fa2658650,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14989,1fdee43e1b10361cbe7a770d3ea86ca9c3405582a8f6a20143c4b1899f9b1e47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29014,0647cc101fa8812ba647916fc41def8edc8d6b97bd02d712b08d7ffbdee2ab5c,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
24004,b705363c8f2b9c67ed3eaa8e050eb86a9ff5bcb1af53e2c8bfdaa12a7fdbebfe,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1531,91228bd801ce11580f368ec8dfa7464657bdfbf9852ae0e6bd61975fe6167d3b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2070,d11aad1d9f9f9a91eee1cb7a19898c5d11e081fceede56b39cd2db75accc8725,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
46070,33ddc08a38b18e8d314d6e481e952958afcaea69789dafd49462349fd908422d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6551,04dd4e4a503d5baaebaafc99295538b854aadf606b8a6de9e310b11f1cdfeb2c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10714,6ddd5309201117b2ff52bd296c084f0a9c978509223ab636aa57003d493978ca,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44492,b23c41e028f09829d6c86cba311c366b429e86f53a683980f26ab58b639961e5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
26449,cbdf8bffcf2e23386336e952ab583059009f742bf2a344dd1040e560aaf45c44,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
